"","142C_CA1","142C_DG","143C_CA1","143C_DG","143C-CA1-1","143D-CA1-3","143D-DG-3","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1"
"Spata24",14,8,6,4,0,0,0,2,0,2,5,4,0,0,0,1,0,2,13,2,4,16
"Spata25",0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
"Spata2l",121,176,149,88,59,29,36,62,20,90,48,119,30,21,10,58,2,61,44,148,68,404
"Spata3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spata31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spata31d1a",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Spata31d1b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Spata31d1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spata31d1d",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,1,0,0
"Spata32",0,5,4,0,4,2,0,0,0,0,5,7,0,7,0,4,0,0,0,3,10,0
"Spata33",7,6,7,8,1,1,1,1,0,3,3,5,4,0,0,4,0,2,2,6,0,11
"Spata4",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,6,0,0
"Spata45",0,3,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,5,2,4,0,0
"Spata5",8,20,23,20,12,5,4,18,2,16,3,17,4,6,0,7,0,13,11,26,2,27
"Spata6",0,0,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,6,2,0,0
"Spata7",22,39,37,11,15,12,8,12,1,14,11,20,8,5,0,12,1,17,15,31,18,61
"Spata9",0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,15,0,5,0,2,0,0
"Spatc1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Spatc1l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spats1",0,2,0,5,0,3,0,0,1,4,0,11,0,0,0,19,0,4,7,3,4,0
"Spats2",220,83,228,136,60,11,46,94,63,70,70,152,33,19,0,104,0,122,113,114,96,386
"Spats2l",6,1,18,2,3,2,1,8,2,1,2,1,2,0,0,5,0,5,6,1,2,5
"Spc24",20,24,6,5,4,1,12,6,1,10,8,18,23,0,0,1,1,12,7,14,15,63
"Spc25",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"Spcs1",24,15,51,28,22,13,11,38,14,17,22,40,9,6,3,23,0,22,56,24,49,125
"Spcs2",23,15,24,16,11,5,7,21,13,12,18,35,4,4,4,19,0,14,48,23,17,85
"Spcs3",235,251,500,177,147,68,51,226,38,119,119,239,70,45,31,160,0,271,254,246,226,564
"Spdef",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,1
"Spdl1",0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0
"Spdya",5,4,1,8,2,2,0,0,2,3,2,6,0,1,0,1,0,2,8,12,0,6
"Spdye4a",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spdye4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spdye4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Specc1",60,28,73,20,22,8,5,30,8,11,15,27,14,2,1,34,0,29,54,26,34,61
"Specc1l",262,135,334,141,80,23,33,84,26,86,51,121,60,14,0,150,1,99,180,164,98,288
"Speer1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speer2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speer3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speer4a",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Speer4b",16,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0
"Speer4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speer4d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Speer4e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speer4f1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Speer4f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spef1",12,11,23,15,5,3,6,3,2,13,4,11,1,0,0,21,0,17,11,8,7,18
"Spef2",6,3,3,0,2,1,0,1,1,0,2,1,1,0,0,2,0,1,2,2,6,0
"Speg",213,105,254,117,62,33,36,101,25,64,51,137,42,15,11,79,4,98,121,141,129,416
"Spem1",0,1,5,5,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,7
"Spen",369,366,716,362,142,62,52,215,30,156,66,311,129,15,32,112,2,204,333,314,166,699
"Spert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spesp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spg11",273,135,329,115,76,39,21,129,20,70,85,156,64,4,1,55,11,136,162,154,187,460
"Spg20",29,14,36,13,11,3,7,21,4,8,13,25,9,1,0,18,0,24,29,22,26,70
"Spg21",63,73,86,53,62,34,38,85,25,69,41,111,50,17,0,17,0,56,78,113,73,366
"Spg7",44,20,46,42,20,11,9,24,7,10,11,34,8,5,0,30,0,19,31,27,29,82
"Sphk1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2
"Sphk2",38,27,50,30,25,10,15,30,18,28,13,43,23,5,1,40,1,26,25,56,42,127
"Sphkap",1071,1427,1994,1162,584,166,299,775,105,639,198,1467,319,158,42,338,20,699,411,1125,526,3774
"Spi1",14,4,7,1,1,0,0,3,1,1,3,1,5,3,0,6,0,6,31,2,10,3
"Spib",0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,6
"Spic",0,4,4,1,1,0,1,4,0,1,0,2,0,1,0,3,0,1,1,0,0,8
"Spice1",77,57,100,20,28,11,23,27,7,43,5,84,21,11,0,63,6,34,61,55,12,329
"Spidr",0,1,25,18,4,1,1,10,2,4,15,9,0,0,1,0,0,12,10,18,0,32
"Spin1",1016,876,1950,755,592,157,169,889,282,494,480,1102,304,86,53,645,14,716,1011,747,965,2644
"Spin2-ps6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spin2c",3,0,4,2,4,4,1,3,0,2,2,5,3,0,0,0,0,3,3,9,9,4
"Spin2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spin2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spin2f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spin2g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spin4",0,0,7,7,1,0,0,1,0,1,2,7,0,0,0,0,0,0,14,11,0,0
"Spink1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink10",0,0,3,0,1,2,0,2,3,1,2,0,0,0,0,0,0,1,17,0,5,0
"Spink11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink6",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0
"Spink7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spink8",59,2,49,1,41,10,0,37,3,1,12,0,7,0,2,16,0,33,2,1,0,2
"Spinkl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spint1",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,7
"Spint2",0,9,1,11,2,1,7,5,4,10,4,24,0,5,0,8,1,0,10,15,7,50
"Spint3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spint4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spint5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spire1",171,194,388,191,96,53,42,133,49,91,86,197,77,17,15,146,2,138,365,224,239,557
"Spire2",39,16,52,21,18,2,2,16,8,14,22,26,3,8,4,26,0,29,31,7,32,87
"Spn",0,1,1,3,0,0,0,0,0,2,2,1,4,0,0,1,2,0,3,1,1,0
"Spns1",44,30,49,46,15,9,13,31,11,19,17,47,15,11,2,29,0,24,46,38,31,112
"Spns2",266,583,353,324,120,75,116,156,65,212,133,366,67,77,8,154,0,170,268,479,262,988
"Spns3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Spo11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spocd1",5,1,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,2,0,5,0,12
"Spock1",39,3,81,46,30,7,5,68,131,6,278,13,6,1,5,594,0,42,603,12,493,3
"Spock2",1501,977,2459,938,691,348,231,1101,693,578,1282,1278,432,127,92,1929,24,1074,3345,999,2069,2887
"Spock3",29,56,47,78,16,5,19,44,33,40,45,92,5,13,2,90,1,20,134,84,94,223
"Spon1",289,186,359,150,135,87,56,175,13,86,16,229,66,26,14,54,2,206,118,183,18,450
"Spon2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spop",201,190,278,166,75,32,38,114,56,98,99,217,47,19,15,90,3,119,231,152,220,511
"Spopl",21,20,39,12,13,4,7,16,4,10,8,28,9,3,2,18,0,20,14,22,10,63
"Spp1",6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0
"Spp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sppl2a",131,151,134,156,28,32,44,54,17,47,29,124,27,6,11,86,0,62,96,109,40,268
"Sppl2b",274,97,274,187,115,71,42,154,30,101,118,194,49,43,17,115,1,168,278,210,214,661
"Sppl2c",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sppl3",133,122,200,85,78,44,39,142,32,78,67,203,27,26,6,97,1,102,221,121,152,442
"Spr",34,16,43,20,12,2,5,26,16,11,23,18,2,3,1,9,0,16,31,18,27,78
"Spred1",415,349,644,221,172,95,70,218,71,119,76,262,170,40,25,171,4,246,450,300,224,428
"Spred2",307,435,382,268,115,68,57,169,30,139,78,228,59,30,14,102,5,174,190,178,145,485
"Spred3",396,133,530,152,148,68,25,248,74,42,186,124,143,6,10,268,0,247,281,134,267,309
"Sprn",453,314,769,351,302,184,114,368,121,213,227,545,128,46,23,306,3,340,411,370,401,1148
"Sprr1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Sprr1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2a2",0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"Sprr2a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Sprr2h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2j-ps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr2k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprr4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprtn",128,131,126,85,43,24,41,49,9,70,40,143,26,8,1,92,8,76,161,121,83,506
"Spry1",15,54,25,45,7,1,11,25,6,48,9,32,5,3,2,15,0,8,32,66,34,217
"Spry2",1150,1995,981,1242,724,297,250,923,499,1128,441,690,707,385,403,1035,156,868,1237,1469,1037,3060
"Spry4",106,39,152,34,70,33,1,139,41,17,67,23,38,12,0,94,0,83,143,28,38,40
"Spryd3",726,333,905,408,345,143,102,592,227,236,408,563,130,68,75,456,20,532,761,306,874,1616
"Spryd4",9,21,1,16,17,12,3,19,7,8,17,18,6,3,0,13,0,8,33,15,40,94
"Spryd7",105,27,127,48,52,35,21,71,36,30,35,81,5,7,8,74,2,71,106,63,85,255
"Spsb1",8,29,4,21,3,0,6,1,3,22,2,43,1,2,1,3,1,3,10,42,2,139
"Spsb2",0,1,3,11,0,0,0,1,0,0,2,2,0,0,0,1,0,2,5,4,0,2
"Spsb3",19,10,25,16,12,5,6,13,5,10,12,23,3,2,2,9,0,15,15,21,7,74
"Spsb4",14,0,20,1,2,2,0,21,6,1,6,2,1,0,11,17,0,13,36,1,36,0
"Spta1",1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sptan1",924,1192,1815,769,416,173,204,634,138,511,308,1151,275,102,59,490,23,575,762,885,696,2535
"Sptb",1510,1595,3006,972,548,153,204,892,86,607,216,1330,500,117,54,300,3,846,645,1285,574,3596
"Sptbn1",1255,1269,2462,822,543,184,235,842,210,529,416,1176,335,95,49,687,8,727,1216,1044,966,2861
"Sptbn2",14771,7435,24654,5012,4975,2409,1214,7433,1575,2476,3460,5359,4097,588,771,3526,68,7140,7189,5646,9933,14920
"Sptbn4",437,479,524,304,133,94,100,204,53,170,120,433,102,38,27,197,6,210,240,401,224,991
"Sptbn5",0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0
"Sptlc1",98,119,156,68,82,36,26,113,20,39,82,128,54,17,6,112,0,109,140,130,135,280
"Sptlc2",53,110,208,52,72,30,30,92,15,21,24,112,63,21,32,156,0,108,164,146,113,330
"Sptlc3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sptssa",63,40,18,10,23,30,15,25,27,18,40,55,5,6,0,29,0,37,66,69,38,178
"Sptssb",0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0
"Spty2d1",208,337,206,281,67,29,32,73,4,189,69,162,50,50,21,50,1,102,149,365,114,402
"Spx",9,7,9,2,1,5,0,1,0,1,5,3,5,0,0,0,0,1,1,6,2,8
"Spz1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sqle",42,91,120,65,40,29,22,90,58,40,70,61,33,8,0,112,0,48,206,73,145,159
"Sqrdl",1,0,0,0,1,0,0,1,2,0,1,1,1,0,0,1,0,1,7,1,1,2
"Sqstm1",445,270,560,304,223,94,106,312,150,249,214,468,100,63,55,257,14,292,469,380,392,1076
"Sra1",98,64,103,58,37,18,20,63,18,37,41,86,24,14,8,56,0,63,96,83,56,245
"Srbd1",29,45,72,47,24,12,12,17,9,40,8,46,3,8,0,19,0,14,58,48,69,103
"Src",156,100,193,136,76,32,50,109,57,102,105,202,38,20,9,116,5,107,234,175,176,549
"Srcap",179,200,282,192,68,30,32,107,20,80,39,183,47,11,2,95,2,95,145,196,105,492
"Srcin1",381,210,506,165,144,69,67,206,101,113,242,266,93,30,12,261,6,205,583,248,495,824
"Srd5a1",20,20,33,15,7,13,4,26,18,27,22,31,2,0,0,34,0,8,71,25,33,58
"Srd5a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Srd5a3",52,36,41,12,7,5,4,7,7,6,9,13,3,0,0,14,0,10,18,12,19,42
"Srebf1",97,19,82,50,26,17,12,31,18,17,33,39,9,4,0,55,1,45,155,47,65,104
"Srebf2",1468,925,2259,491,665,214,167,893,266,495,542,927,348,115,79,647,34,716,1103,778,1164,2238
"Srek1",192,245,199,200,44,23,62,51,9,76,40,196,34,11,21,61,1,75,127,233,90,542
"Srek1ip1",16,16,34,26,18,10,11,18,6,16,12,69,4,2,0,20,0,30,17,38,34,142
"Srf",423,1080,695,641,285,111,182,371,103,619,196,416,202,206,37,166,22,380,422,1064,333,1436
"Srfbp1",57,18,50,43,16,0,12,32,12,24,8,58,6,1,10,7,0,25,28,73,74,158
"Srgap1",126,9,75,5,27,18,11,35,11,4,16,4,16,0,0,24,0,27,54,6,28,13
"Srgap2",44,16,94,38,21,13,9,31,14,16,21,32,17,2,5,59,0,38,93,32,47,60
"Srgap3",953,1023,1698,735,376,132,184,580,153,392,409,757,256,67,59,666,13,550,943,699,742,1926
"Srgn",8,1,4,4,5,2,0,3,2,3,1,2,4,0,0,1,0,1,14,6,1,0
"Sri",44,47,89,84,24,8,25,51,12,62,23,140,7,8,12,53,0,27,107,113,55,403
"Srl",32,44,75,46,30,11,8,24,2,24,12,83,6,6,0,24,0,24,40,62,20,142
"Srm",93,91,174,108,92,11,37,153,34,105,68,246,37,18,46,131,3,136,168,168,180,504
"Srms",0,0,4,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Srp14",113,76,115,51,64,55,19,83,40,68,78,113,37,17,19,42,3,81,117,105,76,248
"Srp19",32,3,33,21,9,4,4,20,7,8,19,18,3,2,2,12,1,19,23,34,19,64
"Srp54a",9,89,259,44,112,48,37,63,44,62,121,105,1,27,58,16,2,100,45,97,67,436
"Srp54b",279,238,463,236,128,72,63,268,78,132,110,328,112,22,19,246,4,188,331,270,300,657
"Srp68",118,99,216,114,84,33,36,84,30,85,66,186,29,21,8,64,5,105,129,166,122,482
"Srp72",258,208,348,157,121,76,50,193,50,97,81,224,29,24,18,164,0,161,250,192,234,666
"Srp9",88,85,84,53,42,21,22,110,52,38,76,87,13,14,11,100,0,58,127,89,116,332
"Srpk1",122,146,218,112,76,40,34,69,14,50,31,113,49,14,11,70,5,90,85,135,88,252
"Srpk2",166,86,264,67,64,24,29,91,28,46,56,122,33,9,12,99,2,120,149,114,106,233
"Srpk3",0,3,11,47,0,0,8,9,7,5,6,5,0,6,0,13,0,3,0,16,32,30
"Srpr",209,93,228,76,76,20,34,98,28,67,54,170,70,13,10,110,2,94,148,144,130,370
"Srprb",136,139,188,124,61,0,42,70,56,66,73,193,26,18,0,72,0,100,189,130,97,361
"Srpx",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Srpx2",3,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
"Srr",71,63,108,45,30,10,17,47,13,31,22,78,13,6,1,40,1,40,49,54,62,188
"Srrd",38,23,28,41,12,6,4,7,11,21,18,20,1,0,14,2,0,16,11,26,15,59
"Srrm1",92,104,125,120,37,26,22,50,17,44,32,88,20,13,6,41,1,67,79,85,51,238
"Srrm2",1042,979,1176,687,266,181,213,460,116,338,229,792,258,106,67,486,15,532,747,929,540,2058
"Srrm3",106,102,193,124,53,29,40,98,19,65,43,115,24,13,25,86,1,86,124,130,95,318
"Srrm4",46,354,102,146,31,29,32,64,14,89,84,212,34,25,4,60,0,45,140,190,88,416
"Srrt",96,87,74,81,26,21,25,45,13,37,23,85,20,12,6,30,2,48,71,75,43,197
"Srsf1",165,194,194,168,60,41,64,80,32,94,53,215,22,19,3,69,3,75,127,206,87,548
"Srsf10",73,105,128,61,28,18,26,38,11,40,24,95,28,11,10,70,2,47,68,102,53,261
"Srsf11",101,108,99,101,28,16,33,51,11,43,27,102,18,17,9,31,1,47,78,115,55,267
"Srsf12",23,30,78,46,19,24,14,28,11,27,28,48,14,4,0,40,0,18,65,50,47,124
"Srsf2",116,125,158,143,49,36,44,79,33,81,69,223,35,22,17,89,8,82,182,167,126,494
"Srsf3",363,278,396,242,96,62,86,139,64,143,114,298,89,54,26,119,12,163,232,339,272,825
"Srsf4",128,100,140,97,35,24,36,77,24,69,53,102,9,16,9,65,1,69,98,119,78,369
"Srsf5",178,162,215,145,59,24,44,110,32,85,53,116,38,20,18,85,3,106,125,155,131,378
"Srsf6",183,240,210,265,54,25,69,131,28,126,69,232,60,36,16,155,1,108,174,264,156,660
"Srsf7",361,506,470,378,182,112,116,273,105,251,122,491,116,83,34,165,11,238,349,525,224,1189
"Srsf9",138,96,133,116,38,29,32,63,28,50,31,114,33,12,6,56,3,48,92,114,88,389
"Srsx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Srsy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Srxn1",126,328,237,337,80,17,84,177,182,185,270,383,29,29,3,324,13,125,531,326,455,1047
"Sry",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0
"Ss18",42,116,50,42,11,10,34,23,9,49,11,123,10,12,6,20,3,18,32,112,29,263
"Ss18l1",433,311,673,368,142,154,89,258,31,143,93,398,133,22,17,191,5,283,374,321,241,977
"Ssb",87,53,134,53,35,15,26,70,20,35,35,87,16,15,4,71,1,48,88,74,60,205
"Ssbp1",12,1,8,12,2,1,3,5,1,3,5,7,2,1,3,2,0,7,6,6,6,23
"Ssbp2",43,98,92,52,32,10,27,49,15,44,19,110,27,14,6,26,3,39,69,77,44,387
"Ssbp3",70,66,90,92,35,16,32,43,29,55,58,124,22,18,16,57,2,42,92,105,95,401
"Ssbp4",124,67,135,67,65,38,29,122,26,48,62,136,39,16,6,62,3,95,109,141,140,435
"Ssc4d",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0
"Ssc5d",100,10,30,66,0,21,12,0,1,8,7,36,21,2,0,0,0,13,31,22,18,100
"Ssfa2",60,91,144,61,28,11,17,39,25,42,23,51,24,4,15,48,0,45,164,105,83,132
"Ssh1",16,19,30,33,11,2,4,16,10,17,21,30,8,5,2,34,3,17,66,27,49,91
"Ssh2",153,97,232,73,49,32,16,84,6,33,38,99,31,6,11,56,0,60,120,81,67,175
"Ssh3",131,96,136,69,34,39,32,71,26,32,40,125,32,16,1,41,7,80,149,138,76,294
"Ssmem1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssna1",70,65,77,65,54,9,25,55,57,33,61,145,28,5,0,35,10,54,38,95,99,331
"Sspn",10,1,12,6,4,1,2,3,2,2,4,7,0,1,0,3,0,6,6,9,6,10
"Sspo",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,0,0,4,0,0,0
"Ssr1",675,863,1180,641,281,107,142,331,105,321,233,834,177,91,3,375,5,308,672,635,562,1999
"Ssr2",20,9,23,5,7,9,6,8,3,6,11,21,6,1,2,15,0,10,17,18,26,70
"Ssr3",248,187,347,247,99,44,69,171,43,122,70,257,54,20,20,164,3,163,344,246,175,622
"Ssr4",52,34,34,40,16,11,16,34,14,24,32,46,7,8,0,30,2,23,98,58,91,106
"Ssrp1",109,155,211,150,69,30,48,83,26,86,74,217,47,21,18,67,6,101,160,176,112,513
"Sssca1",27,9,32,21,12,4,8,19,10,16,17,33,5,5,3,16,0,14,26,18,30,83
"Sst",38,4,555,7,241,4,0,206,410,1,253,0,8,0,0,197,0,214,715,2,448,1
"Sstr1",6,15,22,18,2,0,2,6,3,14,4,14,0,2,1,6,0,2,14,12,6,34
"Sstr2",0,16,2,2,1,0,13,0,3,11,1,38,2,6,0,7,0,0,7,29,0,100
"Sstr3",34,21,80,70,19,51,10,38,95,25,125,75,29,0,0,137,0,49,188,31,228,123
"Sstr4",352,38,802,25,207,55,2,191,0,6,31,15,106,2,13,37,0,237,49,31,35,30
"Sstr5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssty1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssty2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssu2",9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ssu72",82,48,112,64,58,28,18,96,41,48,53,89,21,15,2,62,0,63,125,103,143,260
"Ssx2ip",77,55,212,59,47,16,12,69,14,31,36,56,31,14,6,49,0,69,93,52,68,203
"Ssx9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ssxb10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxb2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Ssxb3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxb5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxb8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ssxb9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St13",132,101,200,59,64,25,27,86,29,47,53,114,38,17,11,57,2,79,150,97,102,270
"St14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,2,2,0
"St18",4,56,3,21,3,0,9,6,1,18,5,36,1,5,0,12,0,5,11,37,7,88
"St3gal1",27,127,37,71,4,4,16,30,9,91,12,223,7,11,10,11,0,18,28,147,20,284
"St3gal2",304,171,517,194,154,73,44,154,78,112,168,282,112,14,52,158,12,182,289,242,446,807
"St3gal3",45,23,53,24,22,10,14,26,15,17,26,34,20,7,2,30,0,32,71,33,36,83
"St3gal4",28,28,47,16,6,5,15,25,6,18,13,48,28,12,11,7,0,33,96,53,75,54
